File,N,Algorithm,Result,Time(s)
dataset/Random100.txt,373999,A2,1,0.001564700
dataset/Random100.txt,373999,A3,1,0.000006500
dataset/Random100.txt,373999,A4,1,0.000003000
dataset/Random100.txt,112163,A1,1,0.000936200
dataset/Random100.txt,112163,A2,1,0.000485400
dataset/Random100.txt,112163,A3,1,0.000003800
dataset/Random100.txt,112163,A4,1,0.000001800
dataset/Random100.txt,28289,A1,1,0.000243400
dataset/Random100.txt,28289,A2,1,0.000120200
dataset/Random100.txt,28289,A3,1,0.000001800
dataset/Random100.txt,28289,A4,1,0.000000900
dataset/Random100.txt,169583,A1,1,0.001957000
dataset/Random100.txt,169583,A2,1,0.002564200
dataset/Random100.txt,169583,A3,1,0.000008900
dataset/Random100.txt,169583,A4,1,0.000003700
dataset/Random100.txt,85469,A1,1,0.001168400
dataset/Random100.txt,85469,A2,1,0.000409600
dataset/Random100.txt,85469,A3,1,0.000003500
dataset/Random100.txt,85469,A4,1,0.000001500
dataset/Random100.txt,277213,A1,1,0.002324400
dataset/Random100.txt,277213,A2,1,0.001147900
dataset/Random100.txt,277213,A3,1,0.000005100
dataset/Random100.txt,277213,A4,1,0.000002400
dataset/Random100.txt,202841,A1,1,0.001679600
dataset/Random100.txt,202841,A2,1,0.000839900
dataset/Random100.txt,202841,A3,1,0.000004200
dataset/Random100.txt,202841,A4,1,0.000002100
dataset/Random100.txt,175949,A1,1,0.001456900
dataset/Random100.txt,175949,A2,1,0.000728600
dataset/Random100.txt,175949,A3,1,0.000004000
dataset/Random100.txt,175949,A4,1,0.000002000
dataset/Random100.txt,160387,A1,1,0.001576600
dataset/Random100.txt,160387,A2,1,0.000664100
dataset/Random100.txt,160387,A3,1,0.000004200
dataset/Random100.txt,160387,A4,1,0.000001900
dataset/Random100.txt,24043,A1,1,0.000199200
dataset/Random100.txt,24043,A2,1,0.000099700
dataset/Random100.txt,24043,A3,1,0.000001800
dataset/Random100.txt,24043,A4,1,0.000000900
dataset/Random100.txt,289987,A1,1,0.002846500
dataset/Random100.txt,289987,A2,1,0.001948400
dataset/Random100.txt,289987,A3,1,0.000006300
dataset/Random100.txt,289987,A4,1,0.000002500
dataset/Random100.txt,12451,A1,1,0.000103200
dataset/Random100.txt,12451,A2,1,0.000051700
dataset/Random100.txt,12451,A3,1,0.000001200
dataset/Random100.txt,12451,A4,1,0.000000700
dataset/Random100.txt,143833,A1,1,0.001312700
dataset/Random100.txt,143833,A2,1,0.000685100
dataset/Random100.txt,143833,A3,1,0.000004300
dataset/Random100.txt,143833,A4,1,0.000002100
dataset/Random100.txt,233341,A1,1,0.002225600
dataset/Random100.txt,233341,A2,1,0.001111400
dataset/Random100.txt,233341,A3,1,0.000005200
dataset/Random100.txt,233341,A4,1,0.000002600
dataset/Random100.txt,346079,A1,1,0.003295500
dataset/Random100.txt,346079,A2,1,0.002159300
dataset/Random100.txt,346079,A3,1,0.000007500
dataset/Random100.txt,346079,A4,1,0.000003200
dataset/Random100.txt,34259,A1,1,0.000326800
dataset/Random100.txt,34259,A2,1,0.000165700
dataset/Random100.txt,34259,A3,1,0.000002300
dataset/Random100.txt,34259,A4,1,0.000001100
dataset/Random100.txt,102587,A1,1,0.001162800
dataset/Random100.txt,102587,A2,1,0.000488800
dataset/Random100.txt,102587,A3,1,0.000004500
dataset/Random100.txt,102587,A4,1,0.000001800
dataset/Random100.txt,47087,A1,1,0.000478900
dataset/Random100.txt,47087,A2,1,0.001003900
dataset/Random100.txt,47087,A3,1,0.000004900
dataset/Random100.txt,47087,A4,1,0.000003800
dataset/Random100.txt,125063,A1,1,0.002257700
dataset/Random100.txt,125063,A2,1,0.001000100
dataset/Random100.txt,125063,A3,1,0.000006900
dataset/Random100.txt,125063,A4,1,0.000003400
dataset/Random100.txt,378179,A1,1,0.003705800
dataset/Random100.txt,378179,A2,1,0.001800700
dataset/Random100.txt,378179,A3,1,0.000007100
dataset/Random100.txt,378179,A4,1,0.000003300
dataset/Random100.txt,101159,A1,1,0.000963400
dataset/Random100.txt,101159,A2,1,0.000481800
dataset/Random100.txt,101159,A3,1,0.000003500
dataset/Random100.txt,101159,A4,1,0.000001800
dataset/Random100.txt,170207,A1,1,0.001620700
dataset/Random100.txt,170207,A2,1,0.001049400
dataset/Random100.txt,170207,A3,1,0.000006900
dataset/Random100.txt,170207,A4,1,0.000003800
dataset/Random100.txt,18049,A1,1,0.000215700
