File,N,Algorithm,Result,Time(s)
dataset/Test-1.txt,42013,A3,1,0.000001000
dataset/Test-1.txt,42013,A4,1,0.000000000
dataset/Test-1.txt,141161,A1,1,0.000101000
dataset/Test-1.txt,141161,A2,1,0.000050000
dataset/Test-1.txt,141161,A3,1,0.000001000
dataset/Test-1.txt,141161,A4,1,0.000000000
dataset/Test-1.txt,92993,A1,1,0.000066000
dataset/Test-1.txt,92993,A2,1,0.000033000
dataset/Test-1.txt,92993,A3,1,0.000001000
dataset/Test-1.txt,92993,A4,1,0.000001000
dataset/Test-1.txt,277891,A1,1,0.000198000
dataset/Test-1.txt,277891,A2,1,0.000099000
dataset/Test-1.txt,277891,A3,1,0.000001000
dataset/Test-1.txt,277891,A4,1,0.000001000
dataset/Test-1.txt,87523,A1,1,0.000063000
dataset/Test-1.txt,87523,A2,1,0.000031000
dataset/Test-1.txt,87523,A3,1,0.000001000
dataset/Test-1.txt,87523,A4,1,0.000001000
dataset/Test-1.txt,341269,A1,1,0.000243000
dataset/Test-1.txt,341269,A2,1,0.000121000
dataset/Test-1.txt,341269,A3,1,0.000000000
dataset/Test-1.txt,341269,A4,1,0.000001000
dataset/Test-1.txt,25577,A1,1,0.000019000
dataset/Test-1.txt,25577,A2,1,0.000009000
dataset/Test-1.txt,25577,A3,1,0.000000000
dataset/Test-1.txt,25577,A4,1,0.000000000
dataset/Test-1.txt,272009,A1,1,0.000194000
dataset/Test-1.txt,272009,A2,1,0.000097000
dataset/Test-1.txt,272009,A3,1,0.000000000
dataset/Test-1.txt,272009,A4,1,0.000000000
dataset/Test-1.txt,44971,A1,1,0.000032000
dataset/Test-1.txt,44971,A2,1,0.000017000
dataset/Test-1.txt,44971,A3,1,0.000000000
dataset/Test-1.txt,44971,A4,1,0.000000000
dataset/Test-1.txt,145661,A1,1,0.000104000
dataset/Test-1.txt,145661,A2,1,0.000052000
dataset/Test-1.txt,145661,A3,1,0.000000000
dataset/Test-1.txt,145661,A4,1,0.000000000
dataset/Test-1.txt,369877,A1,1,0.000263000
dataset/Test-1.txt,369877,A2,1,0.000132000
dataset/Test-1.txt,369877,A3,1,0.000001000
dataset/Test-1.txt,369877,A4,1,0.000000000
dataset/Test-1.txt,4283,A1,1,0.000004000
dataset/Test-1.txt,4283,A2,1,0.000002000
dataset/Test-1.txt,4283,A3,1,0.000000000
dataset/Test-1.txt,4283,A4,1,0.000001000
dataset/Test-1.txt,342413,A1,1,0.000244000
dataset/Test-1.txt,342413,A2,1,0.000122000
dataset/Test-1.txt,342413,A3,1,0.000001000
dataset/Test-1.txt,342413,A4,1,0.000001000
dataset/Test-1.txt,33641,A1,1,0.000024000
dataset/Test-1.txt,33641,A2,1,0.000013000
dataset/Test-1.txt,33641,A3,1,0.000000000
dataset/Test-1.txt,33641,A4,1,0.000002000
dataset/Test-1.txt,159437,A1,1,0.000114000
dataset/Test-1.txt,159437,A2,1,0.000057000
dataset/Test-1.txt,159437,A3,1,0.000001000
dataset/Test-1.txt,159437,A4,1,0.000002000
dataset/Test-1.txt,153437,A1,1,0.000109000
dataset/Test-1.txt,153437,A2,1,0.000055000
dataset/Test-1.txt,153437,A3,1,0.000000000
dataset/Test-1.txt,153437,A4,1,0.000000000
dataset/Test-1.txt,71713,A1,1,0.000051000
dataset/Test-1.txt,71713,A2,1,0.000026000
dataset/Test-1.txt,71713,A3,1,0.000001000
dataset/Test-1.txt,71713,A4,1,0.000000000
dataset/Test-1.txt,372763,A1,1,0.000273000
dataset/Test-1.txt,372763,A2,1,0.000138000
dataset/Test-1.txt,372763,A3,1,0.000000000
dataset/Test-1.txt,372763,A4,1,0.000000000
dataset/Test-1.txt,348149,A1,1,0.000249000
dataset/Test-1.txt,348149,A2,1,0.000131000
dataset/Test-1.txt,348149,A3,1,0.000000000
dataset/Test-1.txt,348149,A4,1,0.000001000
dataset/Test-1.txt,157813,A1,1,0.000113000
dataset/Test-1.txt,157813,A2,1,0.000056000
dataset/Test-1.txt,157813,A3,1,0.000000000
dataset/Test-1.txt,157813,A4,1,0.000001000
dataset/Test-1.txt,150517,A1,1,0.000108000
dataset/Test-1.txt,150517,A2,1,0.000054000
dataset/Test-1.txt,150517,A3,1,0.000001000
dataset/Test-1.txt,150517,A4,1,0.000000000
dataset/Test-1.txt,96323,A1,1,0.000069000
